s_id,X,Y,SchoolName,Address,SCH_Level
"3,484",77.21,28.64,DAV Sr. Sec. School,"Chitra Gupta Road, New Delhi-55",Senior Secondary
"3,485",77.21,28.64,Ramjas Sr. Sec. School (No. 4),"Chitra Gupta Road, Paharganj New Delhi 110055",Senior Secondary
"3,486",77.19,28.64,Akalibaba Phoolasingh Sr. Sec. School,"Rajinder Nagar, New Delhi- 110060",Senior Secondary
"3,487",77.19,28.65,Arya Girls Sr. Sec. School,"Karol Bagh, Reghar Pura, New Delhi 110005",Senior Secondary
"3,488",77.21,28.64,Khalsa Girls Sr. Sec. School,"Chuna Mandi, Pahar Ganj, New Delhi- 110055",Senior Secondary
"3,489",77.19,28.66,Ramjas Sr. Sec. School (No. 5),"Ramjas Road, Karol Bagh, New Delhi-110005",Senior Secondary
"3,490",77.19,28.66,Nav Hind Girls Sr. Sec. School,New Rohtak Road (Opposite Liberty Cinema) New Delhi-110005.,Senior Secondary
"3,491",77.18,28.64,Salwan Boys Sr. Sec. School,"New Rajinder Nagar, New Delhi- 110060",Senior Secondary
"3,492",77.18,28.64,Salwan Girls Sr. Sec. School,"Rajinder Nagar, New Delhi 110060",Senior Secondary
"3,493",77.18,28.63,D.I. Khan Boys Sr. Sec. School,"R-Block, New  Rajinder Nagar, New Delhi 60",Senior Secondary
"3,494",77.19,28.64,Multan DAV Sec. School,"3B/8, Old Rajinder Nagar, New Delhi 110060",Secondary
"3,495",77.18,28.64,Vidya Bhawan Girls Sr. Sec. School,"R-BLOCK, New Rajinder Nagar, New Delhi 110060",Senior Secondary
"3,496",77.23,28.65,Govt. Sarvodaya Kanya Vidyalaya No.1 (Hindi Medium),"Jama Masjid, Delhi 110006",Senior Secondary
"3,497",77.19,28.65,Guru Harkrishan Public School,"Hardhian Singh Road Karol Bagh, New Delhi-110005",Senior Secondary
"3,498",77.20,28.64,St. Michael's Sr. Sec School,"3, Pusa Road,  New Delhi",Senior Secondary
"3,499",77.21,28.65,Tagore Modern Public School,DDA Housing Comploex Motiakhan New Delhi,Secondary
"3,500",77.18,28.64,Manav Sthali School,"R-Block, New Rajdendra Nagar New Delhi-60",Senior Secondary
"3,501",77.23,28.65,Jai Bharat Pry. School,Chawri Bazar Delhi-110006,Primary
"3,502",77.23,28.65,MCD Primary School (Girls),"Gali Babbu Khan, Bara Dari Ballimaran, Delhi-110006",Primary
"3,503",77.22,28.65,MCD Primary School (Co-ed),"Bagichi Tansukh Rai, 1327, Katra Hira Lal, Faseal Road, Ajmeri Gate Delhi-110006",Primary
"3,504",77.23,28.65,MCD Primary School (Co-ed),"Fathak Badwala, Bara Dari, Ballimaran, Delhi-110006",Primary
"3,505",77.23,28.64,Bhagirathi Devi Girdhari Lal Public School,"2717,Gali Arya Samaj Bazar Sita Ram Delhi-110006",Primary
"3,506",77.23,28.65,MCD Primary School (Co-ed),"Churiwalan, 3871,Sarak Prem Narain, Delhi 110006",Primary
"3,507",77.19,28.65,MCD Primary School (Co-ed),"Pusa Lane, Padam Singh Road, Karol Bagh, New Delhi-110005",Primary
"3,508",77.18,28.65,MCD Primary School (Girls),"R.K. Rangwala, Karol Bagh, Delhi",Primary
"3,509",77.23,28.64,MCD Primary School (Boys),"Turkman Gate, Shankar Gali, Asaf Ali Road, Delhi 110006",Primary
"3,510",77.21,28.65,Arya Vedic Pathshala (Girls),"Multani Dhanda Gali No.2, Pahar Ganj, New Delhi -110055",Primary
"3,511",77.21,28.65,MCD Primary School (Girls),"Multani Dhanda, Gali No.6, Pahar Ganj, New Delhi -110055",Primary
"3,512",77.21,28.65,MCD Primary School (Boys),"Multani Dhanda Gali No.6, Pahar Ganj, New Delhi -110055",Primary
"3,513",77.22,28.65,MCD Primary School (Girls),"Lal Quan, Near Execellier Cinema, Delhi",Primary
"3,514",77.21,28.65,MCD Primary School (Co-ed),"Motia Khan, New Delhi",Primary
"3,515",77.22,28.64,MCD Primary School (Girls),"Railway Colony Paharganj, New Delhi -110055",Primary
"3,516",77.22,28.64,MCD Primary School (Boys),"Railway Colony Paharganj, New Delhi -110055",Primary
"3,517",77.24,28.64,MCD Nursery School,"Muftiwalan, Tiraha Behram Khan, Near Shakti Mandir, Delhi 110006",Nursery
