m_id,Station,Line,X,Y
201,Sukhdev Vihar,Magenta Line,77.2749004,28.5597477
202,Sultanpur,Yellow Line,76.8700852,28.4616582
203,Supreme Court,Blue Line,77.23943397,28.6222879
204,Tagore Garden,Blue Line,77.1128454,28.6437639
205,Tikri Border,Green Line,76.9640828,28.6880254
206,Tikri Kalan,Green Line,76.9772069,28.6868661
207,Tilak Nagar,Blue Line,77.0964961,28.6365482
208,Tis Hazari,Red Line,77.21662796,28.6671323
209,Trilokpuri Sanjay Lake,Pink Line,77.3088549,28.613453
210,Tughlakabad Station,Violet Line,77.2992401,28.5023598
211,Udyog Bhawan,Yellow Line,77.2131076,28.6105302
212,Udyog Nagar,Green Line,77.0808492,28.681103
213,Uttam Nagar East,Blue Line,77.0652861,28.6248465
214,Uttam Nagar West,Blue Line,77.0557122,28.621757
215,Vaishali,Blue Line branch,77.06838558,28.6440912
216,Vasant Vihar,Magenta Line,77.16079073,28.56069055
217,Vidhan Sabha,Yellow Line,77.2217271,28.6863222
218,Vinobapuri,Pink Line,77.2491906,28.5669763
219,Vishwa Vidyalaya,Yellow Line,77.2147192,28.6950369
220,Welcome,Red Line,77.2219388,28.6517178
221,Yamuna Bank,Blue Line,77.26792405,28.6232784
