S.no,property,location,carpet_area_sqft,Price,Rate_per_sqft,status,floor,transaction,facing,overlooking,ownership,parking,city,bedroom,X,Y,nearest_metro_1,nearest_metro_2,nearest_school_1,nearest_school_2,nearest_school_3,nearest_hospital_1,nearest_hospital_2,nearest_hospital_3,distance_nearest_metro_km,distance_nearest_hospital_km,distance_nearest_school_km
1111,Mahima Associates, BPTP Princess Park,700,4410000,3665,Ready to Move,10 out of 20,Resale,East,Garden/Park,Freehold,"1 Covered,",Faridabad,2,77.342677,28.405302,127,13,129,473,474,5,4,1,3.475333062,15.74598127,9.506200675
1112,RAVS Infratech Pvt. Ltd., Chiranjiv Vihar,450,3000000,4286,Ready to Move,3 out of 3,Resale,North - East,Main Road,Freehold,"1 Covered,",Ghaziabad,2,77.037658,28.5194596,182,40,2217,2205,1750,128,109,89,2.918494693,3.890607194,1.371274593
1113,Dwarkadhish Group, DLF Ankur Vihar,1500,2250000,3125,Ready to Move,1 out of 3,Resale,North - West,Main Road,Power Of Attorney,"2 Covered,",Ghaziabad,2,73.24115,22.321597,96,202,2126,1863,2125,128,109,74,681.9760451,810.6535011,797.4284963
1114,Paramount , New Ashok Nagar,4250,2450000,4900,Poss. by Feb '24,2 out of 5,New Property,North - East,"Garden/Park, Main Road",Freehold,1 Covered,Delhi,2,77.300595,28.589398,131,109,1477,1738,1481,24,53,101,0.107060205,2.023735668,0.093952763
1115,, Greenfields Colony Block A,2400,9300000,5812,Ready to Move,3 out of 4,New Property,North - East,"Garden/Park, Pool, Main Road",Leasehold,1 Open,Faridabad,3,80.185855,13.087021,96,162,741,742,511,5,4,12,612.288957,1743.154474,1734.387284
1118,, Mahagun Mantra 2,5000,17500000,5932,Ready to Move,8 out of 19,Resale,East,"Garden/Park, Main Road",Freehold,"1 Covered,",Noida,4,77.64951,12.90526,96,162,741,742,511,4,5,29,556.8938241,1733.111013,1723.875174
1120,, Shastri Nagar,598,11500000,11616,Ready to Move,Ground out of 4,Resale,East,Garden/Park,Freehold,1 Covered,Delhi,2,77.061922,28.459647,59,60,831,2217,818,128,28,29,1.192074105,10.12822779,6.548283816
1121,, Fancy Apartments,2600,12000000,7273,Ready to Move,4 out of 7,Resale,East,"Garden/Park, Pool, Main Road",Freehold,"1 Covered,",Delhi,3,75.984226,10.998893,96,162,167,741,742,4,29,5,787.2274809,1949.139425,1939.400204
1122,, Hari Nagar,1800,6210000,11695,Ready to Move,1 out of 3,Resale,North - East,"Garden/Park, Pool",Freehold,1 Covered,Delhi,2,77.061922,28.459647,59,60,831,2217,818,128,28,29,1.192074105,10.12822779,6.548283816
1124,, M2K Oyster Grande,2700,19900000,9615,Ready to Move,17 out of 21,Resale,East,Main Road,Freehold,,Gurgaon,3,76.971523,28.482499,182,60,2160,2236,1859,128,109,74,9.718675904,11.85668021,4.166042397
1125,, Vaishali Sector 3,1500,50000000,6600,Ready to Move,13 out of 13,Resale,East,Garden/Park,Power Of Attorney,,Ghaziabad,4,77.338146,28.643401,89,4,1705,1712,1689,7,100,107,1.546396324,3.403600593,2.049278011
1126,, Esencia,878,16500000,8596,Ready to Move,10 out of 15,New Property,East,Garden/Park,Freehold,,Gurgaon,4,77.05784715,28.3852129,59,60,743,506,515,29,128,28,8.391035818,18.35619937,10.96077485
1127,, Pyramid Urban67A,1395,6000000,11964,Ready to Move,4 out of 9,Resale,East,"Pool, Garden/Park, Main Road",Leasehold,,Gurgaon,2,77.186999,28.524929,20,186,393,346,343,71,40,34,2.420067687,1.557481517,0.654062656
1141,, Venetia Heights,950,4000000,4706,Ready to Move,9 out of 14,Resale,South,Main Road,Power Of Attorney,"1 Covered,",Noida,2,77.156079,28.53865,120,216,4133,4117,5475,28,29,40,2.453980614,1.546998329,0.691207802
1142,, Satya Niketan,1200,15000000,15000,Ready to Move,3 out of 4,Resale,North,"Pool, Garden/Park, Main Road",Freehold,1 Covered,Delhi,3,77.170346,28.587724,30,28,4181,4189,4270,38,126,71,0.236448808,1.33851217,0.255538587
1143,, Sector 7 Gurgaon,1780,22500000,16071,Ready to Move,6 out of 8,Resale,South - East,"Garden/Park, Main Road",Freehold,1 Covered,Gurgaon,2,76.91221522,28.37602775,202,59,2126,1881,2125,128,109,74,10.59309502,24.9488098,15.07397973
1144,, Park Royal Apartment,1100,17500000,8140,Ready to Move,9 out of 19,Resale,East,Garden/Park,Freehold,2 Covered,Gurgaon,3,77.041106,28.453492,59,60,2217,2205,831,128,28,29,3.561880766,10.8646609,7.448106038
1145,, Godrej Meridien,1000,17200000,13108,Poss. by Sep '23,4 out of 21,Resale,North - East,"Garden/Park, Pool, Main Road",Leasehold,1 Covered,Gurgaon,2,77.002709,28.483239,60,59,2071,2070,2072,128,109,18,7.640654642,9.383418861,4.317443138
1146,, White Orchid,3304.5173,7100000,5491,Ready to Move,10 out of 16,Resale,North - East,Garden/Park,Leasehold,1 Covered,Noida,3,79.542856,29.261689,58,187,2968,2583,2731,129,94,100,239.9293357,254.8817787,253.4163356
1147,, Spaze Privy 72,550,19000000,9620,Ready to Move,1 out of 3,Resale,West,Main Road,Freehold,"1 Covered,",Gurgaon,3,77.03548068,28.4085252,59,60,743,831,506,128,29,28,6.989056483,15.89481232,11.60078333
1148,, Sector 70 Noida,750,85000000,25721,Ready to Move,1 out of 1,Resale,North - East,"Pool, Garden/Park, Main Road",Freehold,1 Covered,Noida,10,77.3261,28.5708,15,143,1468,1478,1481,24,118,53,1.192542576,3.76351209,2.781319804
1149,, Safdarjung Development Area,2100,165000000,22000,Ready to Move,1 out of 3,Resale,North - East,"Garden/Park, Pool, Main Road",Leasehold,1 Open,Delhi,10,77.061922,28.459647,59,60,831,2217,818,128,28,29,1.192074105,10.12822779,6.548283816
1150,, Vikaspuri,850,4500000,7489,Ready to Move,4 out of 4,New Property,East,"Pool, Garden/Park, Main Road",Freehold,"2 Covered,",Delhi,2,77.072372,28.638708,215,72,4578,4723,4570,125,111,21,0.743537514,0.554659014,0.299816075
1151,, Eutopia,950,16400000,6250,Poss. by Aug '26,7 out of 24,New Property,East,"Garden/Park, Main Road",Freehold,,Ghaziabad,3,77.609148,12.910342,96,162,741,742,511,4,5,29,556.2397503,1732.43678,1723.196039
1152,, Raj Nagar Extension Ghaziabad,1150,4500000,7750,Ready to Move,Ground out of 3,Resale,North - West,Garden/Park,Freehold,,Ghaziabad,2,77.400277,28.685628,6,187,2589,2774,2775,129,94,100,1.335554394,8.722892066,7.815827665
1153,, Yamuna Vihar,1800,6200000,13500,Ready to Move,3 out of 4,New Property,East,"Pool, Garden/Park, Main Road",Freehold,,Delhi,2,77.27371,28.69876,196,106,2703,2878,2877,106,91,114,0.58231514,0.529339257,0.434203001
1155,, Mapsko Mount Ville,2400,26000000,7407,Ready to Move,15 out of 30,Resale,South,Garden/Park,Freehold,,Gurgaon,4,72.822629,19.046552,96,202,2126,1863,1881,128,29,109,537.0888207,1154.768718,1143.355794
1156,, Sagarpur New Delhi,6500,15000000,6000,Ready to Move,1 out of 3,Resale,South - East,Garden/Park,Leasehold,,Delhi,4,77.099592,28.609146,115,23,1828,2179,1825,83,124,82,0.785749857,0.769233772,0.105056677
1157,, Aakash Kunj Apartment,1350,12000000,16667,Ready to Move,4 out of 16,Resale,East,Garden/Park,Freehold,,Ghaziabad,4,77.127233,28.712445,171,155,4830,4768,4831,88,50,31,0.554962762,0.713785496,0.409863859
1171,Munirka Properties Pvt Ltd, Dwarka,1400,23000000,11795,Ready to Move,2 out of 7,New Property,South - East,"Main Road, Garden/Park, Pool",Freehold,1 Open,Delhi,4,76.9687873,28.464282,202,59,2160,2236,1859,128,109,74,10.95980346,13.44824192,6.186162714
1172,Anupam Estate Agency, Fatehpur Beri New Delhi,725,10000000,11111,Ready to Move,Ground out of 1,Resale,South - East,Main Road,Leasehold,2 Covered,Delhi,3,77.048888,28.422697,59,60,743,831,5547,128,29,28,4.84841609,14.20091654,9.480264534
1173,A J Estates, Nehru Ground,1100,4200000,4667,Ready to Move,2 out of 3,Resale,North - East,"Garden/Park, Main Road",Freehold,1 Open,Faridabad,2,77.214795,28.60889,211,74,101,102,5385,38,45,2,0.261205779,3.863102443,0.54631991
1174,, Gaur 2nd Parkview,2375,8500000,5139,Ready to Move,1 out of 4,Resale,East,Main Road,Freehold,1 Covered,Noida,3,86.910251,25.592145,162,177,5558,5516,5604,24,118,1,1107.734678,1116.352888,1110.574731
1176,, DDA Flats Munirka,1650,16600000,12769,Ready to Move,20 out of 31,Resale,East,"Garden/Park, Main Road",Freehold,1 Open,Delhi,2,77.176455,28.555319,120,161,4175,4123,4229,71,40,126,0.598104173,2.003293684,0.651776896
1177,, Migsun Kiaan,1255,7500000,6250,Ready to Move,1 out of 4,Resale,North - East,"Pool, Garden/Park, Main Road",Leasehold,"4 Covered,",Ghaziabad,3,76.286054,9.966494,96,162,167,741,742,4,5,29,893.6406313,2061.482153,2051.849917
1178,, Sector 81,500,14500000,5859,Ready to Move,4 out of 8,Resale,East,"Garden/Park, Main Road",Freehold,2 Covered,Faridabad,3,76.9475835,28.3873647,202,59,2160,2126,2236,128,109,74,11.91661935,21.61551109,14.72496157
1179,, Parsvnath Regalia,3000,5500000,4889,Ready to Move,9 out of 27,Resale,North - East,Main Road,Leasehold,1 Covered,Ghaziabad,2,77.224745,28.62923,12,166,25,24,3448,110,45,2,0.066266714,2.260400317,0.589533582
